,living place,home idenitfier,geographic area,geographic region,correlative,self represented municipalities,strata,municipality idenitfier,self-reporesented municipality,northzone,department code,municipality code,canton code,monthly per capita
0,Vivienda en muestra,258099.0,Urbano,5.0,3209.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,397.5
1,Vivienda en muestra,258696.0,Urbano,5.0,3209.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,330.56
2,Vivienda en muestra,258131.0,Urbano,5.0,3209.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,383.33
3,Vivienda en muestra,257641.0,Urbano,5.0,3209.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,188.5
4,Vivienda en muestra,257875.0,Urbano,5.0,3209.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,20.0
5,Vivienda en muestra,265817.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,616.67
6,Vivienda en muestra,265540.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,267.08
7,Vivienda en muestra,264530.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,230.0
8,Vivienda en muestra,266208.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,467.36
9,Vivienda en muestra,265179.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,340.84
10,Vivienda en muestra,265103.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,1097.29
11,Vivienda en muestra,264815.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,535.83
12,Vivienda en muestra,265601.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,239.17
13,Vivienda en muestra,266043.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,225.0
14,Vivienda en muestra,264097.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,150.0
15,Vivienda en muestra,264157.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,296.25
16,Vivienda en muestra,264474.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,15.0
17,Vivienda en muestra,264367.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,322.67
18,Vivienda en muestra,263796.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,665.0
19,Vivienda en muestra,263091.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,156.25
20,Vivienda en muestra,264199.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,1153.44
21,Vivienda en muestra,263697.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,278.0
22,Vivienda en muestra,262805.0,Urbano,5.0,3214.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,1014.58
23,Vivienda en muestra,263544.0,Urbano,5.0,3214.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,350.0
24,Vivienda en muestra,264124.0,Urbano,5.0,3214.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,640.0
25,Vivienda en muestra,263915.0,Urbano,5.0,3214.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,287.92
26,Vivienda en muestra,258369.0,Urbano,5.0,3218.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,578.75
27,Vivienda en muestra,258140.0,Urbano,5.0,3218.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,385.67
28,Vivienda en muestra,252419.0,Urbano,5.0,3219.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,866.67
29,Vivienda en muestra,252846.0,Urbano,5.0,3219.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,970.84
30,Vivienda en muestra,252324.0,Urbano,5.0,3219.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,1486.67
31,Vivienda en muestra,251891.0,Urbano,5.0,3219.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,763.89
32,Vivienda en muestra,253519.0,Urbano,5.0,3219.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,1226.04
33,Vivienda en muestra,252123.0,Urbano,5.0,3219.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,283.33
34,Vivienda en muestra,256105.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,74.83
35,Vivienda en muestra,255443.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,156.25
36,Vivienda en muestra,256821.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,75.0
37,Vivienda en muestra,255981.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,166.33
38,Vivienda en muestra,256406.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,243.75
39,Vivienda en muestra,255566.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,480.56
40,Vivienda en muestra,256573.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,307.5
41,Vivienda en muestra,256013.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,587.5
42,Vivienda en muestra,265602.0,Urbano,5.0,3223.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,704.0
43,Vivienda en muestra,265267.0,Urbano,5.0,3223.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,389.44
44,Vivienda en muestra,265884.0,Urbano,5.0,3223.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,1400.0
45,Vivienda en muestra,265117.0,Urbano,5.0,3223.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,912.5
46,Vivienda en muestra,264929.0,Urbano,5.0,3223.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,641.67
47,Vivienda en muestra,273779.0,Urbano,5.0,3225.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,226.96
48,Vivienda en muestra,273388.0,Urbano,5.0,3225.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,194.83
49,Vivienda en muestra,273107.0,Urbano,5.0,3225.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,462.92
50,Vivienda extra,274574.0,Urbano,5.0,3225.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,262.29
51,Vivienda en muestra,272827.0,Urbano,5.0,3225.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,550.0
