living place,home idenitfier,geographic area,geographic region,correlative,self represented municipalities,strata,municipality idenitfier,self-reporesented municipality,northzone,department code,municipality code,canton code,monthly per capita
Vivienda en muestra,258099.0,Urbano,5.0,3209.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,397.5
Vivienda en muestra,258696.0,Urbano,5.0,3209.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,330.56
Vivienda en muestra,258131.0,Urbano,5.0,3209.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,383.33
Vivienda en muestra,257641.0,Urbano,5.0,3209.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,188.5
Vivienda en muestra,257875.0,Urbano,5.0,3209.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,20.0
Vivienda en muestra,265817.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,616.67
Vivienda en muestra,265540.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,267.08
Vivienda en muestra,264530.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,230.0
Vivienda en muestra,266208.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,467.36
Vivienda en muestra,265179.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,340.84
Vivienda en muestra,265103.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,1097.29
Vivienda en muestra,264815.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,535.83
Vivienda en muestra,265601.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,239.17
Vivienda en muestra,266043.0,Urbano,5.0,3210.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,225.0
Vivienda en muestra,264097.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,150.0
Vivienda en muestra,264157.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,296.25
Vivienda en muestra,264474.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,15.0
Vivienda en muestra,264367.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,322.67
Vivienda en muestra,263796.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,665.0
Vivienda en muestra,263091.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,156.25
Vivienda en muestra,264199.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,1153.44
Vivienda en muestra,263697.0,Urbano,5.0,3211.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,278.0
Vivienda en muestra,262805.0,Urbano,5.0,3214.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,1014.58
Vivienda en muestra,263544.0,Urbano,5.0,3214.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,350.0
Vivienda en muestra,264124.0,Urbano,5.0,3214.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,640.0
Vivienda en muestra,263915.0,Urbano,5.0,3214.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,287.92
Vivienda en muestra,258369.0,Urbano,5.0,3218.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,578.75
Vivienda en muestra,258140.0,Urbano,5.0,3218.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,385.67
Vivienda en muestra,252419.0,Urbano,5.0,3219.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,866.67
Vivienda en muestra,252846.0,Urbano,5.0,3219.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,970.84
Vivienda en muestra,252324.0,Urbano,5.0,3219.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,1486.67
Vivienda en muestra,251891.0,Urbano,5.0,3219.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,763.89
Vivienda en muestra,253519.0,Urbano,5.0,3219.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,1226.04
Vivienda en muestra,252123.0,Urbano,5.0,3219.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,283.33
Vivienda en muestra,256105.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,74.83
Vivienda en muestra,255443.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,156.25
Vivienda en muestra,256821.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,75.0
Vivienda en muestra,255981.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,166.33
Vivienda en muestra,256406.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,243.75
Vivienda en muestra,255566.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,480.56
Vivienda en muestra,256573.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,307.5
Vivienda en muestra,256013.0,Urbano,5.0,3222.0,1.0,5011.0,Antiguo Cuscatlán,1.0,0.0,La Libertad,1.0,0.0,587.5
